date,Euribor_3m,VIX,Bund_10Y,ECB_Deposit,ECB_Marginal,ECB_Main,HICP_Germany,HICP_EuroArea
1999-01-01,3.245,,3.702,2.0,4.5,3.0,0.1,0.8
1999-01-07,3.206,24.37,3.702,2.75,3.25,3.0,0.1,0.8
1999-01-13,3.183,30.11,3.702,2.75,3.25,3.0,0.1,0.8
1999-01-19,3.056,29.24,3.702,2.75,3.25,3.0,0.1,0.8
1999-01-25,3.069,31.13,3.702,2.0,4.5,3.0,0.1,0.8
1999-01-29,3.074,26.25,3.702,2.0,4.5,3.0,0.1,0.8
1999-02-04,3.105,29.48,3.849,2.0,4.5,3.0,0.3,0.8
1999-02-10,3.109,30.45,3.849,2.0,4.5,3.0,0.3,0.8
1999-02-16,3.092,29.65,3.849,2.0,4.5,3.0,0.3,0.8
1999-02-22,3.075,25.87,3.849,2.0,4.5,3.0,0.3,0.8
1999-02-26,3.098,27.88,3.849,2.0,4.5,3.0,0.3,0.8
1999-03-04,3.111,26.67,4.03782608695652,2.0,4.5,3.0,0.1,0.7
1999-03-10,3.081,24.79,4.03782608695652,2.0,4.5,3.0,0.1,0.7
1999-03-16,3.036,25.15,4.03782608695652,2.0,4.5,3.0,0.1,0.7
1999-03-22,3.02,25.0,4.03782608695652,2.0,4.5,3.0,0.1,0.7
1999-03-26,2.991,24.04,4.03782608695652,2.0,4.5,3.0,0.1,0.7
1999-04-01,2.942,22.06,3.85,2.0,4.5,3.0,0.5,0.9
1999-04-07,2.9,22.81,3.85,2.0,4.5,3.0,0.5,0.9
1999-04-13,2.651,22.73,3.85,1.5,3.5,2.5,0.5,0.9
1999-04-19,2.621,26.42,3.85,1.5,3.5,2.5,0.5,0.9
1999-04-23,2.594,22.76,3.85,1.5,3.5,2.5,0.5,0.9
1999-04-29,2.585,25.06,3.85,1.5,3.5,2.5,0.5,0.9
1999-05-05,2.581,25.19,4.012105263157888,1.5,3.5,2.5,0.8,1.1
1999-05-11,2.579,25.62,4.012105263157888,1.5,3.5,2.5,0.8,1.1
1999-05-17,2.575,27.28,4.012105263157888,1.5,3.5,2.5,0.8,1.1
1999-05-21,2.581,24.4,4.012105263157888,1.5,3.5,2.5,0.8,1.1
1999-05-27,2.577,28.12,4.012105263157888,1.5,3.5,2.5,0.8,1.1
1999-06-02,2.601,26.21,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-06-08,2.6,24.02,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-06-14,2.623,26.51,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-06-18,2.632,21.75,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-06-24,2.649,23.06,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-06-30,2.669,21.09,4.3604761904761915,1.5,3.5,2.5,0.4,0.9
1999-07-06,2.663,20.73,4.67636363636364,1.5,3.5,2.5,0.4,0.9
1999-07-12,2.665,19.73,4.67636363636364,1.5,3.5,2.5,0.4,0.9
1999-07-16,2.693,17.42,4.67636363636364,1.5,3.5,2.5,0.4,0.9
1999-07-22,2.681,23.05,4.67636363636364,1.5,3.5,2.5,0.4,0.9
1999-07-28,2.685,22.85,4.67636363636364,1.5,3.5,2.5,0.4,0.9
1999-08-03,2.705,26.27,4.879090909090912,1.5,3.5,2.5,0.5,1.0
1999-08-09,2.703,27.66,4.879090909090912,1.5,3.5,2.5,0.5,1.0
1999-08-13,2.704,22.31,4.879090909090912,1.5,3.5,2.5,0.5,1.0
1999-08-19,2.677,24.39,4.879090909090912,1.5,3.5,2.5,0.5,1.0
1999-08-25,2.686,20.96,4.879090909090912,1.5,3.5,2.5,0.5,1.0
1999-08-31,2.697,24.45,4.879090909090912,1.5,3.5,2.5,0.6,1.1
1999-09-06,2.69,24.45,5.04045454545455,1.5,3.5,2.5,0.6,1.1
1999-09-10,2.692,22.03,5.04045454545455,1.5,3.5,2.5,0.6,1.1
1999-09-16,2.69,25.25,5.04045454545455,1.5,3.5,2.5,0.6,1.1
1999-09-22,2.687,25.19,5.04045454545455,1.5,3.5,2.5,0.6,1.1
1999-09-28,2.698,26.06,5.04045454545455,1.5,3.5,2.5,0.6,1.1
1999-10-04,3.225,24.46,5.2923809523809515,1.5,3.5,2.5,0.8,1.2
1999-10-08,3.263,20.49,5.2923809523809515,1.5,3.5,2.5,0.8,1.2
1999-10-14,3.379,26.05,5.2923809523809515,1.5,3.5,2.5,0.8,1.2
1999-10-20,3.45,23.9,5.2923809523809515,1.5,3.5,2.5,0.8,1.2
1999-10-26,3.485,24.26,5.2923809523809515,1.5,3.5,2.5,0.8,1.2
1999-11-01,3.501,22.09,5.04,1.5,3.5,2.5,0.9,1.3
1999-11-05,3.505,21.66,5.04,2.0,4.0,3.0,0.9,1.3
1999-11-11,3.462,22.07,5.04,2.0,4.0,3.0,0.9,1.3
1999-11-17,3.449,20.96,5.04,2.0,4.0,3.0,0.9,1.3
1999-11-23,3.451,21.0,5.04,2.0,4.0,3.0,0.9,1.3
1999-11-29,3.445,23.57,5.04,2.0,4.0,3.0,0.9,1.3
1999-12-03,3.454,19.32,5.14761904761905,2.0,4.0,3.0,1.0,1.5
1999-12-09,3.461,21.19,5.14761904761905,2.0,4.0,3.0,1.0,1.5
1999-12-15,3.456,22.03,5.14761904761905,2.0,4.0,3.0,1.0,1.5
1999-12-21,3.466,22.66,5.14761904761905,2.0,4.0,3.0,1.0,1.5
1999-12-27,3.45,23.07,5.14761904761905,2.0,4.0,3.0,1.0,1.5
2000-01-03,3.338,24.21,5.53952380952381,2.0,4.0,3.0,1.4,1.7
2000-01-07,3.322,21.72,5.53952380952381,2.0,4.0,3.0,1.4,1.7
2000-01-13,3.322,21.71,5.53952380952381,2.0,4.0,3.0,1.4,1.7
2000-01-19,3.308,21.72,5.53952380952381,2.0,4.0,3.0,1.4,1.7
2000-01-25,3.322,23.02,5.53952380952381,2.0,4.0,3.0,1.4,1.7
2000-01-31,3.492,24.95,5.53952380952381,2.0,4.0,3.0,1.7,1.9
2000-02-04,3.493,21.54,5.508571428571432,2.25,4.25,3.25,1.7,1.9
2000-02-10,3.487,23.07,5.508571428571432,2.25,4.25,3.25,1.7,1.9
2000-02-16,3.488,23.51,5.508571428571432,2.25,4.25,3.25,1.7,1.9
2000-02-22,3.625,25.86,5.508571428571432,2.25,4.25,3.25,1.7,1.9
2000-02-28,3.616,24.68,5.508571428571432,2.25,4.25,3.25,1.7,1.9
2000-03-03,3.632,19.21,5.33304347826087,2.25,4.25,3.25,1.7,1.9
2000-03-09,3.714,22.21,5.33304347826087,2.25,4.25,3.25,1.7,1.9
2000-03-15,3.794,22.34,5.33304347826087,2.25,4.25,3.25,1.7,1.9
2000-03-21,3.766,21.7,5.33304347826087,2.5,4.5,3.5,1.7,1.9
2000-03-27,3.797,24.53,5.33304347826087,2.5,4.5,3.5,1.7,1.9
2000-03-31,3.831,24.11,5.33304347826087,2.5,4.5,3.5,1.4,2.0
2000-04-06,3.834,27.15,5.22555555555556,2.5,4.5,3.5,1.4,2.0
2000-04-12,3.917,28.98,5.22555555555556,2.5,4.5,3.5,1.4,2.0
2000-04-18,3.937,26.12,5.22555555555556,2.5,4.5,3.5,1.4,2.0
2000-04-26,4.036,26.97,5.22555555555556,2.5,4.5,3.5,1.4,2.0
2000-05-03,4.183,31.63,5.37818181818182,2.75,4.75,3.75,1.0,1.7
2000-05-09,4.319,28.93,5.37818181818182,2.75,4.75,3.75,1.0,1.7
2000-05-15,4.329,24.86,5.37818181818182,2.75,4.75,3.75,1.0,1.7
2000-05-19,4.461,25.44,5.37818181818182,2.75,4.75,3.75,1.0,1.7
2000-05-25,4.428,24.58,5.37818181818182,2.75,4.75,3.75,1.0,1.7
2000-05-31,4.453,23.65,5.37818181818182,2.75,4.75,3.75,0.8,1.8
2000-06-06,4.428,23.05,5.19136363636364,2.75,4.75,3.75,0.8,1.8
2000-06-12,4.549,22.32,5.19136363636364,3.25,5.25,4.25,0.8,1.8
2000-06-16,4.476,20.5,5.19136363636364,3.25,5.25,4.25,0.8,1.8
2000-06-22,4.518,22.0,5.19136363636364,3.25,5.25,4.25,0.8,1.8
2000-06-28,4.547,20.29,5.19136363636364,3.25,5.25,4.25,0.8,1.8
2000-07-04,4.547,20.29,5.26619047619048,3.25,5.25,4.25,1.4,2.1
2000-07-10,4.537,20.33,5.26619047619048,3.25,5.25,4.25,1.4,2.1
2000-07-14,4.558,19.32,5.26619047619048,3.25,5.25,4.25,1.4,2.1
2000-07-20,4.636,18.94,5.26619047619048,3.25,5.25,4.25,1.4,2.1
2000-07-26,4.631,19.67,5.26619047619048,3.25,5.25,4.25,1.4,2.1
2000-08-01,4.636,20.55,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-08-07,4.639,19.03,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-08-11,4.711,18.55,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-08-17,4.841,17.48,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-08-23,4.87,17.38,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-08-29,4.915,16.89,5.2104347826087,3.25,5.25,4.25,1.3,2.1
2000-09-04,4.816,16.89,5.263333333333329,3.5,5.5,4.5,1.0,2.0
2000-09-08,4.86,18.46,5.263333333333329,3.5,5.5,4.5,1.0,2.0
2000-09-14,4.831,18.26,5.263333333333329,3.5,5.5,4.5,1.0,2.0
2000-09-20,4.818,19.93,5.263333333333329,3.5,5.5,4.5,1.0,2.0
2000-09-26,4.884,21.88,5.263333333333329,3.5,5.5,4.5,1.0,2.0
2000-10-02,4.991,21.23,5.20714285714286,3.5,5.5,4.5,1.5,2.4
2000-10-06,5.021,22.71,5.20714285714286,3.75,5.75,4.75,1.5,2.4
2000-10-12,5.007,30.51,5.20714285714286,3.75,5.75,4.75,1.5,2.4
2000-10-18,5.016,28.72,5.20714285714286,3.75,5.75,4.75,1.5,2.4
2000-10-24,5.1,24.28,5.20714285714286,3.75,5.75,4.75,1.5,2.4
2000-10-30,5.138,25.46,5.20714285714286,3.75,5.75,4.75,1.5,2.4
2000-11-03,5.125,23.67,5.15363636363636,3.75,5.75,4.75,1.5,2.4
2000-11-09,5.123,27.2,5.15363636363636,3.75,5.75,4.75,1.5,2.4
2000-11-15,5.085,26.15,5.15363636363636,3.75,5.75,4.75,1.5,2.4
2000-11-21,5.07,26.62,5.15363636363636,3.75,5.75,4.75,1.5,2.4
2000-11-27,5.075,26.93,5.15363636363636,3.75,5.75,4.75,1.5,2.4
2000-12-01,5.021,27.48,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2000-12-07,4.956,25.34,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2000-12-13,4.966,23.63,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2000-12-19,4.916,27.17,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2000-12-25,4.879,27.17,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2000-12-29,4.855,26.85,4.890526315789471,3.75,5.75,4.75,1.4,2.5
2001-01-05,4.701,28.67,4.80318181818182,3.75,5.75,4.75,2.2,2.5
2001-01-11,4.797,25.79,4.80318181818182,3.75,5.75,4.75,2.2,2.5
2001-01-17,4.795,24.93,4.80318181818182,3.75,5.75,4.75,2.2,2.5
2001-01-23,4.756,21.57,4.80318181818182,3.75,5.75,4.75,2.2,2.5
2001-01-29,4.785,22.61,4.80318181818182,3.75,5.75,4.75,2.2,2.5
2001-02-02,4.724,21.95,4.7775,3.75,5.75,4.75,1.3,2.0
2001-02-08,4.731,21.46,4.7775,3.75,5.75,4.75,1.3,2.0
2001-02-14,4.743,21.52,4.7775,3.75,5.75,4.75,1.3,2.0
2001-02-20,4.779,24.69,4.7775,3.75,5.75,4.75,1.3,2.0
2001-02-26,4.811,25.43,4.7775,3.75,5.75,4.75,1.3,2.0
2001-03-02,4.761,27.43,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-03-08,4.778,24.29,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-03-14,4.784,29.61,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-03-20,4.766,30.96,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-03-26,4.566,29.04,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-03-30,4.561,28.64,4.66772727272727,3.75,5.75,4.75,1.8,2.0
2001-04-05,4.573,29.94,4.8278947368421115,3.75,5.75,4.75,1.8,2.2
2001-04-11,4.583,28.46,4.8278947368421115,3.75,5.75,4.75,1.8,2.2
2001-04-19,4.677,24.16,4.8278947368421115,3.75,5.75,4.75,1.8,2.2
2001-04-25,4.78,27.4,4.8278947368421115,3.75,5.75,4.75,1.8,2.2
2001-05-02,4.817,24.23,5.04681818181818,3.75,5.75,4.75,2.2,2.7
2001-05-08,4.801,24.44,5.04681818181818,3.75,5.75,4.75,2.2,2.7
2001-05-14,4.572,24.26,5.04681818181818,3.5,5.5,4.5,2.2,2.7
2001-05-18,4.557,21.23,5.04681818181818,3.5,5.5,4.5,2.2,2.7
2001-05-24,4.559,20.57,5.04681818181818,3.5,5.5,4.5,2.2,2.7
2001-05-30,4.544,22.76,5.04681818181818,3.5,5.5,4.5,2.2,2.7
2001-06-05,4.486,19.58,5.0,3.5,5.5,4.5,2.9,3.1
2001-06-11,4.451,20.7,5.0,3.5,5.5,4.5,2.9,3.1
2001-06-15,4.465,22.81,5.0,3.5,5.5,4.5,2.9,3.1
2001-06-21,4.433,19.38,5.0,3.5,5.5,4.5,2.9,3.1
2001-06-27,4.435,20.88,5.0,3.5,5.5,4.5,2.9,3.1
2001-07-03,4.416,18.92,5.01590909090909,3.5,5.5,4.5,2.4,2.9
2001-07-09,4.482,22.48,5.01590909090909,3.5,5.5,4.5,2.4,2.9
2001-07-13,4.484,21.14,5.01590909090909,3.5,5.5,4.5,2.4,2.9
2001-07-19,4.466,22.51,5.01590909090909,3.5,5.5,4.5,2.4,2.9
2001-07-25,4.466,24.0,5.01590909090909,3.5,5.5,4.5,2.4,2.9
2001-07-31,4.444,21.62,5.01590909090909,3.5,5.5,4.5,2.1,2.5
2001-08-06,4.425,21.89,4.82391304347826,3.5,5.5,4.5,2.1,2.5
2001-08-10,4.382,20.55,4.82391304347826,3.5,5.5,4.5,2.1,2.5
2001-08-16,4.346,21.54,4.82391304347826,3.5,5.5,4.5,2.1,2.5
2001-08-22,4.308,22.44,4.82391304347826,3.5,5.5,4.5,2.1,2.5
2001-08-28,4.305,22.0,4.82391304347826,3.5,5.5,4.5,2.1,2.5
2001-09-03,4.254,22.0,4.813,3.25,5.25,4.25,2.2,2.3
2001-09-07,4.264,30.99,4.813,3.25,5.25,4.25,2.2,2.3
2001-09-13,4.165,30.99,4.813,3.25,5.25,4.25,2.2,2.3
2001-09-19,3.76,40.56,4.813,2.75,4.75,3.75,2.2,2.3
2001-09-25,3.654,35.81,4.813,2.75,4.75,3.75,2.2,2.3
2001-10-01,3.656,32.32,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-10-05,3.558,33.39,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-10-11,3.614,31.5,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-10-17,3.645,35.08,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-10-23,3.579,32.0,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-10-29,3.576,31.64,4.5995652173913,2.75,4.75,3.75,1.8,2.2
2001-11-02,3.499,30.71,4.447727272727271,2.75,4.75,3.75,1.6,2.2
2001-11-08,3.324,28.62,4.447727272727271,2.75,4.75,3.75,1.6,2.2
2001-11-14,3.338,26.56,4.447727272727271,2.25,4.25,3.25,1.6,2.2
2001-11-20,3.349,24.12,4.447727272727271,2.25,4.25,3.25,1.6,2.2
2001-11-26,3.369,23.79,4.447727272727271,2.25,4.25,3.25,1.6,2.2
2001-11-30,3.36,23.84,4.447727272727271,2.25,4.25,3.25,1.4,2.0
2001-12-06,3.364,23.71,4.73588235294118,2.25,4.25,3.25,1.4,2.0
2001-12-12,3.351,24.87,4.73588235294118,2.25,4.25,3.25,1.4,2.0
2001-12-18,3.35,23.29,4.73588235294118,2.25,4.25,3.25,1.4,2.0
2001-12-24,3.34,22.62,4.73588235294118,2.25,4.25,3.25,1.4,2.0
2002-01-03,3.272,21.34,4.8627272727272715,2.25,4.25,3.25,1.4,2.1
2002-01-09,3.325,22.13,4.8627272727272715,2.25,4.25,3.25,1.4,2.1
2002-01-15,3.329,22.7,4.8627272727272715,2.25,4.25,3.25,1.4,2.1
2002-01-21,3.346,22.7,4.8627272727272715,2.25,4.25,3.25,1.4,2.1
2002-01-25,3.378,21.01,4.8627272727272715,2.25,4.25,3.25,1.4,2.1
2002-01-31,3.371,21.09,4.8627272727272715,2.25,4.25,3.25,2.0,2.6
2002-02-06,3.353,26.09,4.9195,2.25,4.25,3.25,2.0,2.6
2002-02-12,3.352,21.62,4.9195,2.25,4.25,3.25,2.0,2.6
2002-02-18,3.352,21.62,4.9195,2.25,4.25,3.25,2.0,2.6
2002-02-22,3.355,22.86,4.9195,2.25,4.25,3.25,2.0,2.6
2002-02-28,3.366,21.59,4.9195,2.25,4.25,3.25,1.8,2.5
2002-03-06,3.369,19.94,5.161,2.25,4.25,3.25,1.8,2.5
2002-03-12,3.374,19.59,5.161,2.25,4.25,3.25,1.8,2.5
2002-03-18,3.381,18.93,5.161,2.25,4.25,3.25,1.8,2.5
2002-03-22,3.401,17.77,5.161,2.25,4.25,3.25,1.8,2.5
2002-03-28,3.448,17.4,5.161,2.25,4.25,3.25,1.8,2.5
2002-04-05,3.43,19.13,5.1552380952381,2.25,4.25,3.25,1.9,2.5
2002-04-11,3.414,20.3,5.1552380952381,2.25,4.25,3.25,1.9,2.5
2002-04-17,3.395,18.43,5.1552380952381,2.25,4.25,3.25,1.9,2.5
2002-04-23,3.392,20.28,5.1552380952381,2.25,4.25,3.25,1.9,2.5
2002-04-29,3.386,24.05,5.1552380952381,2.25,4.25,3.25,1.9,2.5
2002-05-06,3.416,22.56,5.16772727272727,2.25,4.25,3.25,1.5,2.4
2002-05-10,3.427,22.41,5.16772727272727,2.25,4.25,3.25,1.5,2.4
2002-05-16,3.497,18.5,5.16772727272727,2.25,4.25,3.25,1.5,2.4
2002-05-22,3.487,19.58,5.16772727272727,2.25,4.25,3.25,1.5,2.4
2002-05-28,3.497,20.31,5.16772727272727,2.25,4.25,3.25,1.5,2.4
2002-06-03,3.483,23.37,5.0175,2.25,4.25,3.25,1.1,2.1
2002-06-07,3.466,23.51,5.0175,2.25,4.25,3.25,1.1,2.1
2002-06-13,3.47,25.02,5.0175,2.25,4.25,3.25,1.1,2.1
2002-06-19,3.467,26.06,5.0175,2.25,4.25,3.25,1.1,2.1
2002-06-25,3.461,27.84,5.0175,2.25,4.25,3.25,1.1,2.1
2002-07-01,3.438,27.11,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-07-05,3.439,27.11,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-07-11,3.414,33.85,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-07-17,3.407,35.45,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-07-23,3.402,44.92,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-07-29,3.373,31.33,4.86739130434783,2.25,4.25,3.25,0.9,1.9
2002-08-02,3.361,41.29,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-08-08,3.336,36.33,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-08-14,3.326,32.36,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-08-20,3.353,29.59,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-08-26,3.368,29.89,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-08-30,3.358,32.64,4.5895454545454495,2.25,4.25,3.25,1.1,2.0
2002-09-05,3.314,38.86,4.38523809523809,2.25,4.25,3.25,1.1,2.1
2002-09-11,3.315,34.81,4.38523809523809,2.25,4.25,3.25,1.1,2.1
2002-09-17,3.314,38.01,4.38523809523809,2.25,4.25,3.25,1.1,2.1
2002-09-23,3.297,39.68,4.38523809523809,2.25,4.25,3.25,1.1,2.1
2002-09-27,3.297,36.97,4.38523809523809,2.25,4.25,3.25,1.1,2.1
2002-10-03,3.265,37.31,4.46391304347826,2.25,4.25,3.25,1.1,2.1
2002-10-09,3.23,42.13,4.46391304347826,2.25,4.25,3.25,1.1,2.1
2002-10-15,3.281,34.02,4.46391304347826,2.25,4.25,3.25,1.1,2.1
2002-10-21,3.263,33.11,4.46391304347826,2.25,4.25,3.25,1.1,2.1
2002-10-25,3.253,30.0,4.46391304347826,2.25,4.25,3.25,1.1,2.1
2002-10-31,3.259,31.14,4.46391304347826,2.25,4.25,3.25,1.2,2.3
2002-11-06,3.214,30.73,4.47761904761905,2.25,4.25,3.25,1.2,2.3
2002-11-12,3.174,30.58,4.47761904761905,2.25,4.25,3.25,1.2,2.3
2002-11-18,3.1,27.66,4.47761904761905,2.25,4.25,3.25,1.2,2.3
2002-11-22,3.043,23.16,4.47761904761905,2.25,4.25,3.25,1.2,2.3
2002-11-28,3.055,23.16,4.47761904761905,2.25,4.25,3.25,1.2,2.3
2002-12-04,2.989,28.92,4.33555555555556,2.25,4.25,3.25,1.1,2.3
2002-12-10,2.918,28.76,4.33555555555556,1.75,3.75,2.75,1.1,2.3
2002-12-16,2.942,26.24,4.33555555555556,1.75,3.75,2.75,1.1,2.3
2002-12-20,2.943,26.71,4.33555555555556,1.75,3.75,2.75,1.1,2.3
2002-12-30,2.867,29.62,4.33555555555556,1.75,3.75,2.75,1.1,2.3
2003-01-06,2.86,24.91,4.18,1.75,3.75,2.75,1.1,2.3
2003-01-10,2.836,24.32,4.18,1.75,3.75,2.75,1.1,2.3
2003-01-16,2.828,25.01,4.18,1.75,3.75,2.75,1.1,2.3
2003-01-22,2.825,29.01,4.18,1.75,3.75,2.75,1.1,2.3
2003-01-28,2.818,31.93,4.18,1.75,3.75,2.75,1.1,2.3
2003-02-03,2.807,31.02,3.955,1.75,3.75,2.75,1.1,2.1
2003-02-07,2.763,34.01,3.955,1.75,3.75,2.75,1.1,2.1
2003-02-13,2.707,33.7,3.955,1.75,3.75,2.75,1.1,2.1
2003-02-19,2.687,31.31,3.955,1.75,3.75,2.75,1.1,2.1
2003-02-25,2.571,31.74,3.955,1.75,3.75,2.75,1.1,2.1
2003-03-03,2.503,30.43,4.00047619047619,1.75,3.75,2.75,1.2,2.4
2003-03-07,2.528,31.08,4.00047619047619,1.5,3.5,2.5,1.2,2.4
2003-03-13,2.545,31.76,4.00047619047619,1.5,3.5,2.5,1.2,2.4
2003-03-19,2.562,31.54,4.00047619047619,1.5,3.5,2.5,1.2,2.4
2003-03-25,2.528,28.75,4.00047619047619,1.5,3.5,2.5,1.2,2.4
2003-03-31,2.522,29.15,4.00047619047619,1.5,3.5,2.5,1.2,2.4
2003-04-04,2.517,29.13,4.147,1.5,3.5,2.5,1.2,2.4
2003-04-10,2.519,25.6,4.147,1.5,3.5,2.5,1.2,2.4
2003-04-16,2.561,22.52,4.147,1.5,3.5,2.5,1.2,2.4
2003-04-24,2.552,20.33,4.147,1.5,3.5,2.5,1.2,2.4
2003-04-30,2.53,21.21,4.147,1.5,3.5,2.5,1.0,2.1
2003-05-07,2.476,21.0,3.8152380952381,1.5,3.5,2.5,1.0,2.1
2003-05-13,2.464,19.91,3.8152380952381,1.5,3.5,2.5,1.0,2.1
2003-05-19,2.381,20.51,3.8152380952381,1.5,3.5,2.5,1.0,2.1
2003-05-23,2.345,19.17,3.8152380952381,1.5,3.5,2.5,1.0,2.1
2003-05-29,2.292,20.43,3.8152380952381,1.5,3.5,2.5,1.0,2.1
2003-06-04,2.185,20.62,3.6166666666666702,1.5,3.5,2.5,0.6,1.8
2003-06-10,2.133,20.64,3.6166666666666702,1.0,3.0,2.0,0.6,1.8
2003-06-16,2.129,20.22,3.6166666666666702,1.0,3.0,2.0,0.6,1.8
2003-06-20,2.142,19.14,3.6166666666666702,1.0,3.0,2.0,0.6,1.8
2003-06-26,2.14,19.4,3.6166666666666702,1.0,3.0,2.0,0.6,1.8
2003-07-02,2.142,19.03,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-07-08,2.134,19.48,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-07-14,2.129,19.59,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-07-18,2.128,19.11,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-07-24,2.122,18.6,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-07-30,2.121,18.85,3.97260869565217,1.0,3.0,2.0,1.0,2.0
2003-08-05,2.138,22.68,4.13,1.0,3.0,2.0,0.9,1.9
2003-08-11,2.135,19.75,4.13,1.0,3.0,2.0,0.9,1.9
2003-08-15,2.138,18.27,4.13,1.0,3.0,2.0,0.9,1.9
2003-08-21,2.141,17.84,4.13,1.0,3.0,2.0,0.9,1.9
2003-08-27,2.154,19.13,4.13,1.0,3.0,2.0,0.9,1.9
2003-09-02,2.153,19.02,4.17136363636364,1.0,3.0,2.0,1.1,2.0
2003-09-08,2.157,18.26,4.17136363636364,1.0,3.0,2.0,1.1,2.0
2003-09-12,2.152,18.68,4.17136363636364,1.0,3.0,2.0,1.1,2.0
2003-09-18,2.15,17.57,4.17136363636364,1.0,3.0,2.0,1.1,2.0
2003-09-24,2.135,21.22,4.17136363636364,1.0,3.0,2.0,1.1,2.0
2003-09-30,2.128,22.72,4.17136363636364,1.0,3.0,2.0,1.1,2.1
2003-10-06,2.145,19.51,4.22130434782609,1.0,3.0,2.0,1.1,2.1
2003-10-10,2.135,18.45,4.22130434782609,1.0,3.0,2.0,1.1,2.1
2003-10-16,2.14,17.19,4.22130434782609,1.0,3.0,2.0,1.1,2.1
2003-10-22,2.152,17.67,4.22130434782609,1.0,3.0,2.0,1.1,2.1
2003-10-28,2.154,16.82,4.22130434782609,1.0,3.0,2.0,1.1,2.1
2003-11-03,2.163,16.55,4.353,1.0,3.0,2.0,1.2,2.0
2003-11-07,2.169,16.93,4.353,1.0,3.0,2.0,1.2,2.0
2003-11-13,2.171,16.47,4.353,1.0,3.0,2.0,1.2,2.0
2003-11-19,2.147,18.8,4.353,1.0,3.0,2.0,1.2,2.0
2003-11-25,2.152,16.71,4.353,1.0,3.0,2.0,1.2,2.0
2003-12-01,2.16,16.77,4.2910526315789514,1.0,3.0,2.0,1.4,2.2
2003-12-05,2.154,17.09,4.2910526315789514,1.0,3.0,2.0,1.4,2.2
2003-12-11,2.15,16.73,4.2910526315789514,1.0,3.0,2.0,1.4,2.2
2003-12-17,2.144,15.58,4.2910526315789514,1.0,3.0,2.0,1.4,2.2
2003-12-23,2.142,16.49,4.2910526315789514,1.0,3.0,2.0,1.4,2.2
2003-12-31,2.124,18.31,4.2910526315789514,1.0,3.0,2.0,1.1,2.0
2004-01-07,2.104,15.5,4.17095238095238,1.0,3.0,2.0,1.1,2.0
2004-01-13,2.092,18.04,4.17095238095238,1.0,3.0,2.0,1.1,2.0
2004-01-19,2.077,18.04,4.17095238095238,1.0,3.0,2.0,1.1,2.0
2004-01-23,2.073,14.84,4.17095238095238,1.0,3.0,2.0,1.1,2.0
2004-01-29,2.091,17.14,4.17095238095238,1.0,3.0,2.0,1.1,2.0
2004-02-04,2.085,17.87,4.11,1.0,3.0,2.0,1.1,1.8
2004-02-10,2.07,15.94,4.11,1.0,3.0,2.0,1.1,1.8
2004-02-16,2.065,15.94,4.11,1.0,3.0,2.0,1.1,1.8
2004-02-20,2.061,16.04,4.11,1.0,3.0,2.0,1.1,1.8
